code,name,source_note,source
EDU_EXP_PC_GDP_ED0,EDU_EXP_PC_GDP_ED0,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED01,EDU_EXP_PC_GDP_ED01,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED02,EDU_EXP_PC_GDP_ED02,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED02-8,EDU_EXP_PC_GDP_ED02-8,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED1,EDU_EXP_PC_GDP_ED1,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED1_2,EDU_EXP_PC_GDP_ED1_2,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED2,EDU_EXP_PC_GDP_ED2,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED24,EDU_EXP_PC_GDP_ED24,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED25,EDU_EXP_PC_GDP_ED25,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED3,EDU_EXP_PC_GDP_ED3,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED34,EDU_EXP_PC_GDP_ED34,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED34_44,EDU_EXP_PC_GDP_ED34_44,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED35,EDU_EXP_PC_GDP_ED35,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED35_45,EDU_EXP_PC_GDP_ED35_45,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED3_4,EDU_EXP_PC_GDP_ED3_4,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED4,EDU_EXP_PC_GDP_ED4,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED44,EDU_EXP_PC_GDP_ED44,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED45,EDU_EXP_PC_GDP_ED45,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED5-8,EDU_EXP_PC_GDP_ED5-8,Eurostat educ_uoe_fine06,Eurostat
EDU_EXP_PC_GDP_ED9,EDU_EXP_PC_GDP_ED9,Eurostat educ_uoe_fine06,Eurostat
