country,iso2,iso3,year,indicator_code,value
Austria,AT,AT,2012,EDU_EXP_PC_GDP_ED0,0.54
Austria,AT,AT,2013,EDU_EXP_PC_GDP_ED0,0.55
Austria,AT,AT,2014,EDU_EXP_PC_GDP_ED0,0.58
Austria,AT,AT,2015,EDU_EXP_PC_GDP_ED0,0.58
Austria,AT,AT,2016,EDU_EXP_PC_GDP_ED0,0.6
Austria,AT,AT,2017,EDU_EXP_PC_GDP_ED0,0.61
Austria,AT,AT,2018,EDU_EXP_PC_GDP_ED0,0.61
Austria,AT,AT,2019,EDU_EXP_PC_GDP_ED0,0.43
Austria,AT,AT,2020,EDU_EXP_PC_GDP_ED0,0.69
Austria,AT,AT,2021,EDU_EXP_PC_GDP_ED0,0.67
Austria,AT,AT,2022,EDU_EXP_PC_GDP_ED0,0.68
Bulgaria,BG,BG,2012,EDU_EXP_PC_GDP_ED0,0.85
Bulgaria,BG,BG,2013,EDU_EXP_PC_GDP_ED0,1.03
Bulgaria,BG,BG,2014,EDU_EXP_PC_GDP_ED0,1.04
Bulgaria,BG,BG,2015,EDU_EXP_PC_GDP_ED0,0.96
Bulgaria,BG,BG,2016,EDU_EXP_PC_GDP_ED0,0.94
Bulgaria,BG,BG,2017,EDU_EXP_PC_GDP_ED0,0.93
Bulgaria,BG,BG,2018,EDU_EXP_PC_GDP_ED0,0.92
Bulgaria,BG,BG,2019,EDU_EXP_PC_GDP_ED0,0.94
Bulgaria,BG,BG,2020,EDU_EXP_PC_GDP_ED0,0.97
Bulgaria,BG,BG,2021,EDU_EXP_PC_GDP_ED0,1.03
Bulgaria,BG,BG,2022,EDU_EXP_PC_GDP_ED0,1.06
Czechia,CZ,CZ,2012,EDU_EXP_PC_GDP_ED0,0.54
Czechia,CZ,CZ,2013,EDU_EXP_PC_GDP_ED0,0.54
Czechia,CZ,CZ,2014,EDU_EXP_PC_GDP_ED0,0.55
Czechia,CZ,CZ,2015,EDU_EXP_PC_GDP_ED0,0.52
Czechia,CZ,CZ,2016,EDU_EXP_PC_GDP_ED0,0.49
Czechia,CZ,CZ,2017,EDU_EXP_PC_GDP_ED0,0.52
