country,iso2,iso3,year,indicator_code,value
Argentina,AR,ARG,2023,GC.TAX.TOTL.GD.ZS,9.92889407757488
Argentina,AR,ARG,2022,GC.TAX.TOTL.GD.ZS,11.0647708090182
Argentina,AR,ARG,2021,GC.TAX.TOTL.GD.ZS,11.3410740330927
Argentina,AR,ARG,2020,GC.TAX.TOTL.GD.ZS,10.70812114449
Argentina,AR,ARG,2019,GC.TAX.TOTL.GD.ZS,10.3919973375121
Argentina,AR,ARG,2018,GC.TAX.TOTL.GD.ZS,9.79144712037089
Argentina,AR,ARG,2017,GC.TAX.TOTL.GD.ZS,10.939623860491
Argentina,AR,ARG,2016,GC.TAX.TOTL.GD.ZS,12.0972836411962
Argentina,AR,ARG,2015,GC.TAX.TOTL.GD.ZS,12.3365069418291
Argentina,AR,ARG,2014,GC.TAX.TOTL.GD.ZS,12.6109666067191
Argentina,AR,ARG,2013,GC.TAX.TOTL.GD.ZS,12.4529027558077
Argentina,AR,ARG,2012,GC.TAX.TOTL.GD.ZS,12.9528415127413
Argentina,AR,ARG,2011,GC.TAX.TOTL.GD.ZS,12.6636277012315
Argentina,AR,ARG,2010,GC.TAX.TOTL.GD.ZS,12.8530426903255
Brazil,BR,BRA,2023,GC.TAX.TOTL.GD.ZS,14.041862416944
Brazil,BR,BRA,2022,GC.TAX.TOTL.GD.ZS,14.7258479184963
Brazil,BR,BRA,2021,GC.TAX.TOTL.GD.ZS,14.1366751329603
Brazil,BR,BRA,2020,GC.TAX.TOTL.GD.ZS,12.7193878561953
Brazil,BR,BRA,2019,GC.TAX.TOTL.GD.ZS,13.7376948371937
Brazil,BR,BRA,2018,GC.TAX.TOTL.GD.ZS,13.9401079937096
Brazil,BR,BRA,2017,GC.TAX.TOTL.GD.ZS,13.6052285149994
Brazil,BR,BRA,2016,GC.TAX.TOTL.GD.ZS,13.7104309800754
Brazil,BR,BRA,2015,GC.TAX.TOTL.GD.ZS,13.6296293660896
Brazil,BR,BRA,2014,GC.TAX.TOTL.GD.ZS,13.4900745188201
Brazil,BR,BRA,2013,GC.TAX.TOTL.GD.ZS,14.1253057440862
Brazil,BR,BRA,2012,GC.TAX.TOTL.GD.ZS,14.3324110913977
Brazil,BR,BRA,2011,GC.TAX.TOTL.GD.ZS,14.85129878353
Brazil,BR,BRA,2010,GC.TAX.TOTL.GD.ZS,14.249575957302
Canada,CA,CAN,2023,GC.TAX.TOTL.GD.ZS,13.7377870842483
Canada,CA,CAN,2022,GC.TAX.TOTL.GD.ZS,13.6967194140816
Canada,CA,CAN,2021,GC.TAX.TOTL.GD.ZS,13.9963002003697
Canada,CA,CAN,2020,GC.TAX.TOTL.GD.ZS,13.5185804823986
Canada,CA,CAN,2019,GC.TAX.TOTL.GD.ZS,12.7416613646109
Canada,CA,CAN,2018,GC.TAX.TOTL.GD.ZS,13.0576729881011
Canada,CA,CAN,2017,GC.TAX.TOTL.GD.ZS,12.6119872225487
Canada,CA,CAN,2016,GC.TAX.TOTL.GD.ZS,12.4965502941198
Canada,CA,CAN,2015,GC.TAX.TOTL.GD.ZS,12.3897984570277
Canada,CA,CAN,2014,GC.TAX.TOTL.GD.ZS,11.8083672406473
Canada,CA,CAN,2013,GC.TAX.TOTL.GD.ZS,11.6235901452765
Canada,CA,CAN,2012,GC.TAX.TOTL.GD.ZS,11.6644720495535
Canada,CA,CAN,2011,GC.TAX.TOTL.GD.ZS,11.8038613990864
Canada,CA,CAN,2010,GC.TAX.TOTL.GD.ZS,11.732767044486
China,CN,CHN,2023,GC.TAX.TOTL.GD.ZS,7.6382330077989
China,CN,CHN,2022,GC.TAX.TOTL.GD.ZS,7.51799464421188
China,CN,CHN,2021,GC.TAX.TOTL.GD.ZS,7.79829641266187
China,CN,CHN,2020,GC.TAX.TOTL.GD.ZS,7.92409749807608
China,CN,CHN,2019,GC.TAX.TOTL.GD.ZS,8.32942550168391
China,CN,CHN,2018,GC.TAX.TOTL.GD.ZS,8.89089034445248
China,CN,CHN,2017,GC.TAX.TOTL.GD.ZS,9.24872439343925
China,CN,CHN,2016,GC.TAX.TOTL.GD.ZS,8.94556190414739
China,CN,CHN,2015,GC.TAX.TOTL.GD.ZS,9.19468038601503
China,CN,CHN,2014,GC.TAX.TOTL.GD.ZS,9.49826837509792
China,CN,CHN,2013,GC.TAX.TOTL.GD.ZS,9.7321625039509
China,CN,CHN,2012,GC.TAX.TOTL.GD.ZS,10.0894667610088
China,CN,CHN,2011,GC.TAX.TOTL.GD.ZS,10.1512000219484
China,CN,CHN,2010,GC.TAX.TOTL.GD.ZS,10.0382796577366
Germany,DE,DEU,2023,GC.TAX.TOTL.GD.ZS,10.6875057770109
Germany,DE,DEU,2022,GC.TAX.TOTL.GD.ZS,11.2560065573935
Germany,DE,DEU,2021,GC.TAX.TOTL.GD.ZS,11.4694189021112
Germany,DE,DEU,2020,GC.TAX.TOTL.GD.ZS,11.1648583484027
Germany,DE,DEU,2019,GC.TAX.TOTL.GD.ZS,11.9024504704179
Germany,DE,DEU,2018,GC.TAX.TOTL.GD.ZS,11.9511186565056
Germany,DE,DEU,2017,GC.TAX.TOTL.GD.ZS,11.9735022246491
Germany,DE,DEU,2016,GC.TAX.TOTL.GD.ZS,11.8344647143693
Germany,DE,DEU,2015,GC.TAX.TOTL.GD.ZS,11.9885456247591
Germany,DE,DEU,2014,GC.TAX.TOTL.GD.ZS,12.050213270698
Germany,DE,DEU,2013,GC.TAX.TOTL.GD.ZS,12.0952178281376
