country,iso2,iso3,year,indicator_code,value
Argentina,AR,ARG,2023,SI.POV.GINI,42.4
Argentina,AR,ARG,2022,SI.POV.GINI,40.7
Argentina,AR,ARG,2021,SI.POV.GINI,42.4
Argentina,AR,ARG,2020,SI.POV.GINI,42.7
Argentina,AR,ARG,2019,SI.POV.GINI,43.3
Argentina,AR,ARG,2018,SI.POV.GINI,41.7
Argentina,AR,ARG,2017,SI.POV.GINI,41.4
Argentina,AR,ARG,2016,SI.POV.GINI,42.3
Argentina,AR,ARG,2015,SI.POV.GINI,
Argentina,AR,ARG,2014,SI.POV.GINI,41.8
Argentina,AR,ARG,2013,SI.POV.GINI,41.1
Argentina,AR,ARG,2012,SI.POV.GINI,41.4
Argentina,AR,ARG,2011,SI.POV.GINI,42.7
Argentina,AR,ARG,2010,SI.POV.GINI,43.7
Brazil,BR,BRA,2023,SI.POV.GINI,51.5
Brazil,BR,BRA,2022,SI.POV.GINI,51.9
Brazil,BR,BRA,2021,SI.POV.GINI,52.9
Brazil,BR,BRA,2020,SI.POV.GINI,48.8
Brazil,BR,BRA,2019,SI.POV.GINI,53.5
Brazil,BR,BRA,2018,SI.POV.GINI,53.9
Brazil,BR,BRA,2017,SI.POV.GINI,53.3
Brazil,BR,BRA,2016,SI.POV.GINI,53.4
Brazil,BR,BRA,2015,SI.POV.GINI,51.9
Brazil,BR,BRA,2014,SI.POV.GINI,52.1
Brazil,BR,BRA,2013,SI.POV.GINI,52.7
Brazil,BR,BRA,2012,SI.POV.GINI,53.4
Brazil,BR,BRA,2011,SI.POV.GINI,52.9
Brazil,BR,BRA,2010,SI.POV.GINI,
Canada,CA,CAN,2023,SI.POV.GINI,
Canada,CA,CAN,2022,SI.POV.GINI,31.5
Canada,CA,CAN,2021,SI.POV.GINI,31.1
Canada,CA,CAN,2020,SI.POV.GINI,29.9
Canada,CA,CAN,2019,SI.POV.GINI,31.8
Canada,CA,CAN,2018,SI.POV.GINI,32.5
Canada,CA,CAN,2017,SI.POV.GINI,33.3
Canada,CA,CAN,2016,SI.POV.GINI,32.7
Canada,CA,CAN,2015,SI.POV.GINI,33.7
Canada,CA,CAN,2014,SI.POV.GINI,33.2
Canada,CA,CAN,2013,SI.POV.GINI,33.8
Canada,CA,CAN,2012,SI.POV.GINI,33.5
Canada,CA,CAN,2011,SI.POV.GINI,32.7
Canada,CA,CAN,2010,SI.POV.GINI,33.6
China,CN,CHN,2023,SI.POV.GINI,
China,CN,CHN,2022,SI.POV.GINI,36
China,CN,CHN,2021,SI.POV.GINI,35.7
China,CN,CHN,2020,SI.POV.GINI,37.1
China,CN,CHN,2019,SI.POV.GINI,38.2
China,CN,CHN,2018,SI.POV.GINI,38.5
China,CN,CHN,2017,SI.POV.GINI,39.1
China,CN,CHN,2016,SI.POV.GINI,38.5
China,CN,CHN,2015,SI.POV.GINI,38.6
China,CN,CHN,2014,SI.POV.GINI,39.2
China,CN,CHN,2013,SI.POV.GINI,39.7
China,CN,CHN,2012,SI.POV.GINI,42.2
China,CN,CHN,2011,SI.POV.GINI,42.4
China,CN,CHN,2010,SI.POV.GINI,43.7
Germany,DE,DEU,2023,SI.POV.GINI,
Germany,DE,DEU,2022,SI.POV.GINI,33.7
Germany,DE,DEU,2021,SI.POV.GINI,33.6
Germany,DE,DEU,2020,SI.POV.GINI,32.5
Germany,DE,DEU,2019,SI.POV.GINI,32.2
Germany,DE,DEU,2018,SI.POV.GINI,31.9
Germany,DE,DEU,2017,SI.POV.GINI,31.3
Germany,DE,DEU,2016,SI.POV.GINI,31.3
Germany,DE,DEU,2015,SI.POV.GINI,31.4
Germany,DE,DEU,2014,SI.POV.GINI,30.8
Germany,DE,DEU,2013,SI.POV.GINI,31.4
Germany,DE,DEU,2012,SI.POV.GINI,30.9
Germany,DE,DEU,2011,SI.POV.GINI,30.4
Germany,DE,DEU,2010,SI.POV.GINI,30.2
Spain,ES,ESP,2023,SI.POV.GINI,33.4
Spain,ES,ESP,2022,SI.POV.GINI,33.6
Spain,ES,ESP,2021,SI.POV.GINI,33.9
Spain,ES,ESP,2020,SI.POV.GINI,34.9
Spain,ES,ESP,2019,SI.POV.GINI,34.3
Spain,ES,ESP,2018,SI.POV.GINI,34.7
Spain,ES,ESP,2017,SI.POV.GINI,34.7
Spain,ES,ESP,2016,SI.POV.GINI,35.8
Spain,ES,ESP,2015,SI.POV.GINI,36.2
Spain,ES,ESP,2014,SI.POV.GINI,36.1
Spain,ES,ESP,2013,SI.POV.GINI,36.2
Spain,ES,ESP,2012,SI.POV.GINI,35.4
Spain,ES,ESP,2011,SI.POV.GINI,35.7
Spain,ES,ESP,2010,SI.POV.GINI,35.2
France,FR,FRA,2023,SI.POV.GINI,31.8
France,FR,FRA,2022,SI.POV.GINI,31.2
France,FR,FRA,2021,SI.POV.GINI,31.5
France,FR,FRA,2020,SI.POV.GINI,30.7
France,FR,FRA,2019,SI.POV.GINI,31.2
France,FR,FRA,2018,SI.POV.GINI,32.4
France,FR,FRA,2017,SI.POV.GINI,31.6
France,FR,FRA,2016,SI.POV.GINI,31.9
France,FR,FRA,2015,SI.POV.GINI,32.7
France,FR,FRA,2014,SI.POV.GINI,32.3
