country,iso2,iso3,year,indicator_code,value
Argentina,AR,ARG,2023,SL.UEM.TOTL.ZS,6.139
Argentina,AR,ARG,2022,SL.UEM.TOTL.ZS,6.805
Argentina,AR,ARG,2021,SL.UEM.TOTL.ZS,8.736
Argentina,AR,ARG,2020,SL.UEM.TOTL.ZS,11.461
Argentina,AR,ARG,2019,SL.UEM.TOTL.ZS,9.843
Argentina,AR,ARG,2018,SL.UEM.TOTL.ZS,9.22
Argentina,AR,ARG,2017,SL.UEM.TOTL.ZS,8.347
Argentina,AR,ARG,2016,SL.UEM.TOTL.ZS,8.088
Argentina,AR,ARG,2015,SL.UEM.TOTL.ZS,7.577
Argentina,AR,ARG,2014,SL.UEM.TOTL.ZS,7.268
Argentina,AR,ARG,2013,SL.UEM.TOTL.ZS,7.1
Argentina,AR,ARG,2012,SL.UEM.TOTL.ZS,7.217
Argentina,AR,ARG,2011,SL.UEM.TOTL.ZS,7.18
Argentina,AR,ARG,2010,SL.UEM.TOTL.ZS,7.714
Brazil,BR,BRA,2023,SL.UEM.TOTL.ZS,7.947
Brazil,BR,BRA,2022,SL.UEM.TOTL.ZS,9.231
Brazil,BR,BRA,2021,SL.UEM.TOTL.ZS,13.158
Brazil,BR,BRA,2020,SL.UEM.TOTL.ZS,13.697
Brazil,BR,BRA,2019,SL.UEM.TOTL.ZS,11.936
Brazil,BR,BRA,2018,SL.UEM.TOTL.ZS,12.329
Brazil,BR,BRA,2017,SL.UEM.TOTL.ZS,12.792
Brazil,BR,BRA,2016,SL.UEM.TOTL.ZS,11.58
Brazil,BR,BRA,2015,SL.UEM.TOTL.ZS,8.538
Brazil,BR,BRA,2014,SL.UEM.TOTL.ZS,6.755
Brazil,BR,BRA,2013,SL.UEM.TOTL.ZS,7.071
Brazil,BR,BRA,2012,SL.UEM.TOTL.ZS,7.251
Brazil,BR,BRA,2011,SL.UEM.TOTL.ZS,7.578
Brazil,BR,BRA,2010,SL.UEM.TOTL.ZS,8.42
Canada,CA,CAN,2023,SL.UEM.TOTL.ZS,5.415
Canada,CA,CAN,2022,SL.UEM.TOTL.ZS,5.279
Canada,CA,CAN,2021,SL.UEM.TOTL.ZS,7.527
Canada,CA,CAN,2020,SL.UEM.TOTL.ZS,9.657
Canada,CA,CAN,2019,SL.UEM.TOTL.ZS,5.69
Canada,CA,CAN,2018,SL.UEM.TOTL.ZS,5.837
Canada,CA,CAN,2017,SL.UEM.TOTL.ZS,6.426
Canada,CA,CAN,2016,SL.UEM.TOTL.ZS,7.038
