country,iso2,iso3,year,indicator_code,value
Argentina,AR,ARG,2023,NE.EXP.GNFS.ZS,12.8223120961047
Argentina,AR,ARG,2022,NE.EXP.GNFS.ZS,16.2816677253254
Argentina,AR,ARG,2021,NE.EXP.GNFS.ZS,18.0667091690365
Argentina,AR,ARG,2020,NE.EXP.GNFS.ZS,16.6054144372484
Argentina,AR,ARG,2019,NE.EXP.GNFS.ZS,17.9248783778462
Argentina,AR,ARG,2018,NE.EXP.GNFS.ZS,14.4366857499034
Argentina,AR,ARG,2017,NE.EXP.GNFS.ZS,11.3202833596733
Argentina,AR,ARG,2016,NE.EXP.GNFS.ZS,12.5270951690009
Argentina,AR,ARG,2015,NE.EXP.GNFS.ZS,10.7056520504538
Argentina,AR,ARG,2014,NE.EXP.GNFS.ZS,14.4054785893756
Argentina,AR,ARG,2013,NE.EXP.GNFS.ZS,14.6171733884386
Argentina,AR,ARG,2012,NE.EXP.GNFS.ZS,16.2378594620246
Argentina,AR,ARG,2011,NE.EXP.GNFS.ZS,18.4492091453155
Argentina,AR,ARG,2010,NE.EXP.GNFS.ZS,18.9338234053709
Brazil,BR,BRA,2023,NE.EXP.GNFS.ZS,17.9693243032741
Brazil,BR,BRA,2022,NE.EXP.GNFS.ZS,19.6307650034371
Brazil,BR,BRA,2021,NE.EXP.GNFS.ZS,19.1094303688709
Brazil,BR,BRA,2020,NE.EXP.GNFS.ZS,16.4535520094071
Brazil,BR,BRA,2019,NE.EXP.GNFS.ZS,14.1229191913178
Brazil,BR,BRA,2018,NE.EXP.GNFS.ZS,14.6349994955075
Brazil,BR,BRA,2017,NE.EXP.GNFS.ZS,12.5189678698768
Brazil,BR,BRA,2016,NE.EXP.GNFS.ZS,12.4666790429968
Brazil,BR,BRA,2015,NE.EXP.GNFS.ZS,12.900191418386
Brazil,BR,BRA,2014,NE.EXP.GNFS.ZS,11.0119428190539
Brazil,BR,BRA,2013,NE.EXP.GNFS.ZS,11.7422306460189
Brazil,BR,BRA,2012,NE.EXP.GNFS.ZS,11.8775390704316
Brazil,BR,BRA,2011,NE.EXP.GNFS.ZS,11.5825126785455
Brazil,BR,BRA,2010,NE.EXP.GNFS.ZS,10.8655847752557
Canada,CA,CAN,2023,NE.EXP.GNFS.ZS,33.3416520498948
Canada,CA,CAN,2022,NE.EXP.GNFS.ZS,33.7212083293036
Canada,CA,CAN,2021,NE.EXP.GNFS.ZS,31.1750905922479
Canada,CA,CAN,2020,NE.EXP.GNFS.ZS,29.47360741517
Canada,CA,CAN,2019,NE.EXP.GNFS.ZS,32.3526259007732
Canada,CA,CAN,2018,NE.EXP.GNFS.ZS,32.3253748086707
Canada,CA,CAN,2017,NE.EXP.GNFS.ZS,31.4543366815438
Canada,CA,CAN,2016,NE.EXP.GNFS.ZS,31.5025413039024
Canada,CA,CAN,2015,NE.EXP.GNFS.ZS,31.8499289605736
Canada,CA,CAN,2014,NE.EXP.GNFS.ZS,31.7365440556138
Canada,CA,CAN,2013,NE.EXP.GNFS.ZS,30.3321619042863
Canada,CA,CAN,2012,NE.EXP.GNFS.ZS,30.3531418051027
Canada,CA,CAN,2011,NE.EXP.GNFS.ZS,30.678236283533
Canada,CA,CAN,2010,NE.EXP.GNFS.ZS,29.1672768917177
