code,name,unit,source,source_note
SE.SEC.ENRR,"School enrollment, secondary (% gross)",,World Development Indicators,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers."
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,World Development Indicators,"Lower secondary education completion rate is measured as the gross intake ratio to the last grade of lower secondary education (general and pre-vocational). It is calculated as the number of new entrants in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education."
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",,World Development Indicators,"Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education."
SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)",,World Development Indicators,"General government expenditure on education (current, capital, and transfers) is expressed as a percentage of GDP. It includes expenditure funded by transfers from international sources to government. General government usually refers to local, regional and central governments."
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)",,World Development Indicators,"General government expenditure on education (current, capital, and transfers) is expressed as a percentage of total general government expenditure on all sectors (including health, education, social services, etc.). It includes expenditure funded by transfers from international sources to government. General government usually refers to local, regional and central governments."
NY.GDP.PCAP.CD,GDP per capita (current US$),,World Development Indicators,"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. The core indicator has been divided by the general population to achieve a per capita estimate.This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars."
NE.TRD.GNFS.ZS,Trade (% of GDP),,World Development Indicators,Trade is the sum of exports and imports of goods and services. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.
SP.POP.TOTL,"Population, total",,World Development Indicators,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates."
SE.TER.ENRR,"School enrollment, tertiary (% gross)",,World Development Indicators,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level."
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",,World Development Indicators,The percentage of population ages 25 and over that attained or completed upper secondary education.
GC.XPN.TOTL.GD.ZS,Expense (% of GDP),,World Development Indicators,Expense is a decrease in net worth resulting from a transaction. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",,World Development Indicators,"Foreign direct investment is the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net inflows (new investment inflows less disinvestment) in the reporting economy from foreign investors, and is divided by GDP."
